Timestamp(Date-Time),A_ACR_Mot.PV,A_ACR_Mot.SV,A_ACR_Mot.TV,A_ACR_Pmp.PV,A_ACR_Pmp.SV,A_ACR_Pmp.TV,A_Pres.PV,A_Temp.PV,Vibration_hz,Temperature,RUL_hours,Load_Percent,RPM,Barometer
2024-06-11T10:00:00Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.337,25.39809799,1199.85,35.0,1380.0,1012.170515
2024-06-11T10:00:01Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.175,25.39809799,1199.84,35.21,1380.56,1012.170515
2024-06-11T10:00:02Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.39,25.39809799,1199.82,35.47,1381.15,1012.170515
2024-06-11T10:00:03Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.414,25.40550804,1199.81,35.72,1381.66,1012.170515
2024-06-11T10:00:04Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.063,25.40550804,1199.8,35.82,1382.44,1012.170515
2024-06-11T10:00:05Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.142,25.40550804,1199.79,36.06,1383.01,1012.170515
2024-06-11T10:00:06Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.317,25.40550804,1199.78,36.39,1383.34,1012.170715
2024-06-11T10:00:07Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.263,25.40550804,1199.77,36.58,1383.94,1012.170715
2024-06-11T10:00:08Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.298,25.40550804,1199.75,36.84,1384.66,1012.170715
2024-06-11T10:00:09Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.195,25.40550804,1199.74,36.98,1385.38,1012.170715
2024-06-11T10:00:10Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.412,25.40550804,1199.73,37.42,1385.31,1012.170715
2024-06-11T10:00:11Z,0.001379948,0.543140233,23.765625,0.00067328,0.566808283,27.1484375,0.82856065,23.96282959,2.397,25.4057312,1199.72,37.65,1386.27,1012.170715
